	0
1017	ENSG00000279499
1018	ENSG00000155189
1019	ENSG00000184923
1020	ENSG00000228113
1021	ENSG00000170382
1022	ENSG00000233680
1023	ENSG00000203811
1024	ENSG00000269553
1025	ENSG00000283496
1026	ENSG00000059769
1027	ENSG00000125534
1028	ENSG00000198833
1029	ENSG00000225071
1030	ENSG00000163823
1031	ENSG00000172785
1032	ENSG00000106004
1033	ENSG00000156873
1034	ENSG00000215302
1035	ENSG00000169016
1036	ENSG00000280129
1037	ENSG00000157429
1038	ENSG00000166573
1039	ENSG00000215093
1040	ENSG00000149308
1041	ENSG00000281091
1042	ENSG00000183242
1043	ENSG00000178252
1044	ENSG00000228817
1045	ENSG00000279249
1046	ENSG00000134007
1047	ENSG00000164603
1048	ENSG00000213178
1049	ENSG00000101057
1050	ENSG00000120160
1051	ENSG00000277694
1052	ENSG00000267568
1053	ENSG00000145734
1054	ENSG00000185038
1055	ENSG00000233266
1056	ENSG00000170917
1057	ENSG00000225975
1058	ENSG00000215475
1059	ENSG00000225706
1060	ENSG00000254035
1061	ENSG00000201512
1062	ENSG00000127837
1063	ENSG00000264346
1064	ENSG00000176269
1065	ENSG00000204842
1066	ENSG00000124780
1067	ENSG00000087448
1068	ENSG00000100605
1069	ENSG00000279632
1070	ENSG00000229036
1071	ENSG00000279841
1072	ENSG00000282851
1073	ENSG00000056291
1074	ENSG00000135655
1075	ENSG00000223803
1076	ENSG00000006704
1077	ENSG00000258976
1078	ENSG00000232434
1079	ENSG00000258705
1080	ENSG00000138944
1081	ENSG00000285106
1082	ENSG00000241973
1083	ENSG00000274750
1084	ENSG00000137252
1085	ENSG00000235081
1086	ENSG00000162775
1087	ENSG00000159069
1088	ENSG00000271991
1089	ENSG00000091128
1090	ENSG00000126016
1091	ENSG00000173531
1092	ENSG00000249236
1093	ENSG00000022267
1094	ENSG00000229932
1095	ENSG00000144580
1096	ENSG00000105251
1097	ENSG00000150776
1098	ENSG00000279145
1099	ENSG00000273703
1100	ENSG00000175938
1101	ENSG00000207313
1102	ENSG00000174562
1103	ENSG00000258072
1104	ENSG00000273492
1105	ENSG00000063854
1106	ENSG00000140968
1107	ENSG00000170468
1108	ENSG00000285802
1109	ENSG00000211673
1110	ENSG00000116783
1111	ENSG00000271304
1112	ENSG00000139269
1113	ENSG00000205485
1114	ENSG00000129195
1115	ENSG00000102575
1116	ENSG00000211800
1117	ENSG00000176165
1118	ENSG00000230937
1119	ENSG00000129204
1120	ENSG00000146216
1121	ENSG00000102897
1122	ENSG00000247287
1123	ENSG00000181652
1124	ENSG00000184571
1125	ENSG00000170004
1126	ENSG00000267199
1127	ENSG00000278700
1128	ENSG00000180999
1129	ENSG00000272146
1130	ENSG00000164163
1131	ENSG00000279529
1132	ENSG00000226648
1133	ENSG00000245680
1134	ENSG00000234222
1135	ENSG00000146809
1136	ENSG00000172403
1137	ENSG00000127124
1138	ENSG00000166886
1139	ENSG00000183255
1140	ENSG00000198824
1141	ENSG00000168228
1142	ENSG00000109576
1143	ENSG00000106013
1144	ENSG00000197332
1145	ENSG00000231290
1146	ENSG00000102119
1147	ENSG00000253706
1148	ENSG00000184206
1149	ENSG00000140400
1150	ENSG00000239437
1151	ENSG00000145723
1152	ENSG00000236152
1153	ENSG00000207008
1154	ENSG00000110195
1155	ENSG00000272842
1156	ENSG00000164867
1157	ENSG00000222035
1158	ENSG00000272631
1159	ENSG00000101040
1160	ENSG00000072778
1161	ENSG00000251301
1162	ENSG00000148832
1163	ENSG00000285888
1164	ENSG00000261072
1165	ENSG00000064218
1166	ENSG00000147324
1167	ENSG00000280649
1168	ENSG00000157349
1169	ENSG00000284930
1170	ENSG00000142396
1171	ENSG00000112592
1172	ENSG00000169905
1173	ENSG00000243081
1174	ENSG00000141252
1175	ENSG00000262227
1176	ENSG00000267104
1177	ENSG00000237973
1178	ENSG00000124406
1179	ENSG00000145358
1180	ENSG00000171121
1181	ENSG00000100583
1182	ENSG00000236529
1183	ENSG00000180777
1184	ENSG00000131748
1185	ENSG00000100612
1186	ENSG00000229021
1187	ENSG00000170099
1188	ENSG00000237491
1189	ENSG00000165046
1190	ENSG00000130561
1191	ENSG00000070495
1192	ENSG00000254459
1193	ENSG00000178149
1194	ENSG00000146576
1195	ENSG00000285280
1196	ENSG00000255670
1197	ENSG00000090316
1198	ENSG00000188536
1199	ENSG00000126001
1200	ENSG00000215388
1201	ENSG00000261798
1202	ENSG00000280232
1203	ENSG00000265692
1204	ENSG00000168124
1205	ENSG00000241717
1206	ENSG00000207304
1207	ENSG00000110108
1208	ENSG00000273485
1209	ENSG00000160783
1210	ENSG00000232354
1211	ENSG00000239948
1212	ENSG00000267673
1213	ENSG00000111321
1214	ENSG00000165731
1215	ENSG00000144597
1216	ENSG00000105246
1217	ENSG00000248008
1218	ENSG00000279152
1219	ENSG00000054267
1220	ENSG00000187957
1221	ENSG00000189068
1222	ENSG00000162384
1223	ENSG00000230753
1224	ENSG00000285815
1225	ENSG00000168653
1226	ENSG00000211664
1227	ENSG00000157045
1228	ENSG00000182796
1229	ENSG00000211817
1230	ENSG00000148908
1231	ENSG00000143314
1232	ENSG00000260361
1233	ENSG00000123810
1234	ENSG00000230565
1235	ENSG00000167291
1236	ENSG00000112739
1237	ENSG00000095574
1238	ENSG00000250012
1239	ENSG00000158716
1240	ENSG00000196756
1241	ENSG00000211452
1242	ENSG00000167100
1243	ENSG00000262766
1244	ENSG00000185115
1245	ENSG00000100353
1246	ENSG00000279364
1247	ENSG00000165507
